Route,Auth,Admin,RateLimit,InputValidation,Ownership,ErrorHandling,PromptInjection,Severity,Status,Notes
/api/achievements GET,Yes,N/A,Middleware,Yes,Yes,Yes,N/A,OK,Pass,
/api/achievements POST,Yes,N/A,Middleware,Partial,Yes,Yes,N/A,Low,Open,Missing achievementId format validation
/api/admin/bulk POST,Yes,Yes,Middleware,Yes,N/A,Yes,N/A,OK,Pass,Has array limits
/api/admin/flashcards GET,Yes,Yes,Middleware,Yes,N/A,Yes,N/A,OK,Pass,
/api/admin/flashcards/[id] PATCH,Yes,Yes,Middleware,Partial,N/A,Yes,N/A,Low,Open,Missing UUID validation on id param
/api/admin/flashcards/[id]/approve POST,Yes,Yes,Middleware,Partial,N/A,Yes,N/A,Low,Open,Missing UUID validation on id param
/api/admin/flashcards/[id]/reject POST,Yes,Yes,Middleware,Partial,N/A,Yes,N/A,Low,Open,Missing UUID validation on id param
/api/admin/flashcards/[id]/similar GET,Yes,Yes,Middleware,Partial,N/A,Yes,N/A,Low,Open,Missing UUID validation on id param
/api/admin/founders/[id] PATCH,Yes,Yes,Middleware,Partial,N/A,Yes,N/A,Low,Open,Missing UUID validation on id param
/api/admin/founders/[id]/photo POST,Yes,Yes,Middleware,Yes,N/A,Yes,N/A,OK,Pass,Good file type and size validation
/api/admin/founders/[id]/photo DELETE,Yes,Yes,Middleware,Partial,N/A,Yes,N/A,Low,Open,Missing UUID validation on id param
/api/admin/generate-content POST,Yes,Yes,None,Partial,N/A,Yes,Missing,High,Open,No rate limiting; no prompt sanitization
/api/admin/generate-quiz POST,Yes,Yes,None,Partial,N/A,Yes,Missing,High,Open,No rate limiting; no context sanitization
/api/admin/generate-video POST,Yes,Yes,None,Partial,N/A,Yes,Missing,High,Open,No rate limiting; no prompt sanitization
/api/admin/quizzes GET,Yes,Yes,Middleware,Yes,N/A,Partial,N/A,Low,Open,Error exposes details
/api/admin/quizzes POST,Yes,Yes,Middleware,Partial,N/A,Partial,N/A,Low,Open,Error exposes details
/api/admin/quizzes/[id]/approve POST,Yes,Yes,Middleware,Partial,N/A,Yes,N/A,Low,Open,Missing UUID validation on id param
/api/admin/quizzes/[id]/reject POST,Yes,Yes,Middleware,Partial,N/A,Yes,N/A,Low,Open,Missing UUID validation on id param
/api/admin/reorder POST,Yes,Yes,Middleware,Yes,N/A,Yes,N/A,OK,Pass,Excellent validation
/api/admin/video-chat POST,Yes,Yes,Middleware,Yes,N/A,Yes,N/A,OK,Pass,
/api/ai/conversations GET,Yes,N/A,Middleware,Partial,Yes,Yes,N/A,Low,Open,lessonId not validated
/api/ai/conversations POST,Yes,N/A,Middleware,Missing,Yes,Yes,N/A,Medium,Open,lessonId/moduleId/title not validated
/api/ai/conversations/[id] GET,Yes,N/A,Middleware,Missing,Yes,Yes,N/A,Medium,Open,Missing UUID validation on id param
/api/ai/conversations/[id] PATCH,Yes,N/A,Middleware,Partial,Yes,Yes,N/A,Medium,Open,Missing UUID validation on id param
/api/ai/conversations/[id] DELETE,Yes,N/A,Middleware,Missing,Yes,Yes,N/A,Medium,Open,Missing UUID validation on id param
/api/ai/conversations/[id]/messages POST,Yes,N/A,Middleware,Yes,Yes,Yes,Yes,OK,Pass,Excellent - validates UUID and content length
/api/auth/delete-account DELETE,Yes,N/A,Middleware,Yes,Yes,Yes,N/A,OK,Pass,Uses auth rate limit category
/api/contact POST,N/A,N/A,Middleware,Yes,N/A,Yes,N/A,OK,Pass,Excellent validation and sanitization
/api/flashcards GET,Yes,N/A,Middleware,Partial,Yes,Yes,N/A,Low,Open,Missing flashcardId format validation
/api/flashcards POST,Yes,N/A,Middleware,Partial,Yes,Yes,N/A,Low,Open,Missing flashcardId format validation
/api/flashcards/cards GET,Optional,N/A,Middleware,Partial,Yes,Yes,N/A,Low,Open,moduleId not validated as UUID
/api/flashcards/generate POST,Yes,N/A,Middleware,Partial,Yes,Yes,N/A,Medium,Open,moduleId not validated as UUID
/api/flashcards/grade POST,Yes,N/A,Middleware,Partial,Yes,Partial,N/A,Low,Open,Error exposes details; missing ID validation
/api/flashcards/knowledge GET,Yes,N/A,Middleware,Partial,Yes,Partial,N/A,Low,Open,Error exposes details
/api/flashcards/knowledge POST,Yes,N/A,Middleware,Partial,Yes,Partial,N/A,Low,Open,Missing flashcardId validation; error exposes details
/api/gemini/ask POST,Yes,N/A,Middleware,Yes,N/A,Yes,Yes,OK,Pass,Excellent - sanitizes inputs
/api/gemini/explain POST,Yes,N/A,Middleware,Yes,N/A,Yes,Yes,OK,Pass,Excellent - sanitizes inputs
/api/leaderboard GET,N/A,N/A,Middleware,Yes,N/A,Yes,N/A,OK,Pass,Public read-only
/api/lessons/progress GET,Yes,N/A,Middleware,Partial,Yes,Yes,N/A,OK,Pass,
/api/lessons/progress POST,Yes,N/A,Middleware,Yes,Yes,Yes,N/A,OK,Pass,Excellent quiz score validation
/api/practice/progress GET,Yes,N/A,Middleware,Partial,Yes,Partial,N/A,Low,Open,Error exposes details
/api/practice/progress POST,Yes,N/A,Middleware,Partial,Yes,Partial,N/A,Low,Open,lessonId not validated; error exposes details
/api/stats GET,Yes,N/A,Middleware,Yes,Yes,Yes,N/A,OK,Pass,
/api/streaks GET,Yes,N/A,Middleware,Yes,Yes,Yes,N/A,OK,Pass,
/api/streaks POST,Yes,N/A,Middleware,Yes,Yes,Yes,N/A,OK,Pass,
/api/videos/[id] GET,Optional,Optional,Middleware,Yes,N/A,Yes,N/A,OK,Pass,Tiered access (admin sees all; public sees published)
